Feature,Mean_SHAP,Std_SHAP
ap_hi,0.8278703593409079,0.4103408073494816
age,0.26592398786852967,0.25468907319848016
cholesterol,0.20453196132994533,0.20206320175353523
ap_lo,0.09642934283814057,0.07009960408021275
bmi,0.05823609146371407,0.06345212593409578
active,0.05646851760455988,0.048212374299503126
weight,0.046561856604629547,0.051303980173597996
gluc,0.03221559110632821,0.05027679132118412
smoke,0.023445117631923237,0.03647236151322833
alco,0.0187429768062436,0.03667635229606472
height,0.013693718826835016,0.011547994532818016
gender,0.008832769223149548,0.008699563741127523
